latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp
35.141,-118.847,323.7,1.1,1.1,2000-11-07,1911,Terra,MODIS,81,6.1,293.7,22.2
35.12,-119.022,310.5,1,1,2000-11-09,1859,Terra,MODIS,54,6.1,288,7.5
34.423,-118.92,309.1,1.3,1.1,2000-11-27,1846,Terra,MODIS,56,6.1,283.4,10.2
34.376,-118.997,310.3,2,1.4,2000-11-28,1929,Terra,MODIS,64,6.1,295,18.5
34.372,-118.976,323.1,2,1.4,2000-11-28,1929,Terra,MODIS,80,6.1,295.3,50.3
34.474,-119.286,301.5,1.3,1.1,2000-11-30,1916,Terra,MODIS,44,6.1,290.8,5.3
34.527,-120.441,357,1,1,2000-12-02,1904,Terra,MODIS,98,6.1,297.9,76.8
34.526,-120.43,327.5,1,1,2000-12-02,1904,Terra,MODIS,85,6.1,297.5,23.7
35.192,-118.856,306.1,1.1,1,2000-12-09,1910,Terra,MODIS,63,6.1,269.4,10.6
34.657,-120.154,308,1.1,1,2000-12-11,1858,Terra,MODIS,63,6.1,271.5,12.2
34.461,-118.871,324.4,1,1,2000-12-18,1904,Terra,MODIS,83,6.1,292.1,21.7
34.459,-118.86,328.5,1,1,2000-12-18,1904,Terra,MODIS,86,6.1,293.6,26.8
34.448,-118.85,307.9,1,1,2000-12-18,1904,Terra,MODIS,12,6.1,290.8,5.8
34.525,-120.428,397.3,1.2,1.1,2000-12-20,1852,Terra,MODIS,100,6.1,305.8,325.2
34.523,-120.415,343,1.2,1.1,2000-12-20,1852,Terra,MODIS,93,6.1,297.9,63.4
34.515,-120.43,308.1,1.2,1.1,2000-12-20,1852,Terra,MODIS,48,6.1,296.3,7.7
34.913,-119.53,309.6,2.3,1.5,2000-12-21,1935,Terra,MODIS,68,6.1,297,18.4
34.332,-119.03,333.3,1.1,1.1,2000-12-25,1910,Terra,MODIS,88,6.1,290.7,37.7
34.33,-119.018,321.1,1.1,1.1,2000-12-25,1910,Terra,MODIS,81,6.1,294.7,20.8
34.328,-119.006,306.7,1.1,1.1,2000-12-25,1910,Terra,MODIS,52,6.1,295,7
34.993,-118.927,302.5,1,1,2001-01-12,1857,Terra,MODIS,52,6.1,283.8,6.4
34.84,-118.904,311.7,1.3,1.1,2001-01-16,0630,Terra,MODIS,83,6.1,268.9,24.8
34.268,-119.099,304.4,2.5,1.5,2001-01-22,1934,Terra,MODIS,37,6.1,289.2,17.9
34.262,-119.073,313.7,2.5,1.5,2001-01-22,1934,Terra,MODIS,74,6.1,289.2,42.9
34.268,-119.077,317.2,2.5,1.5,2001-01-22,1934,Terra,MODIS,77,6.1,289.3,56.4
35.018,-118.826,307.1,1.5,1.2,2001-01-23,1839,Terra,MODIS,65,6.1,287.1,14.1
34.779,-120.42,310.2,1.6,1.2,2001-01-31,1928,Terra,MODIS,70,6.1,290.5,18.3
34.775,-120.416,318.3,1.2,1.1,2001-02-06,1851,Terra,MODIS,78,6.1,289.4,20
34.773,-120.402,308.3,1.2,1.1,2001-02-06,1851,Terra,MODIS,36,6.1,288.7,8.8
35.096,-118.832,302.9,1.5,1.2,2001-02-08,1839,Terra,MODIS,52,6.1,289.6,5.8
34.196,-118.828,304.8,1.5,1.2,2001-02-08,1839,Terra,MODIS,60,6.1,289.3,9.4
35.182,-118.798,303.5,2,1.4,2001-02-16,1927,Terra,MODIS,30,6.1,290.7,8.9
35.244,-118.881,317.7,1.3,1.1,2001-02-18,1915,Terra,MODIS,78,6.1,291.5,17.6
35.289,-119.257,310.2,1,1,2001-03-08,1902,Terra,MODIS,56,6.1,295.5,4.2
34.376,-118.965,316.1,1.3,1.1,2001-03-19,1844,Terra,MODIS,59,6.1,303.9,8.8
34.399,-118.73,311.2,2.1,1.4,2001-03-20,1927,Terra,MODIS,65,6.1,293.7,20.6
34.626,-120.042,308.6,1.2,1.1,2001-03-22,1914,Terra,MODIS,66,6.1,294,5.2
35.235,-118.899,315.7,3.1,1.7,2001-03-23,1819,Terra,MODIS,51,6.1,296.5,38.3
35.105,-119.122,347.5,1,1,2001-03-24,1902,Terra,MODIS,94,6.1,300.3,47.5
35.103,-119.111,317.3,1,1,2001-03-24,1902,Terra,MODIS,61,6.1,302.1,5.1
34.935,-119.781,311.2,1,1,2001-03-24,1902,Terra,MODIS,53,6.1,299.8,4
35.168,-120.623,311.3,1.3,1.1,2001-03-26,1850,Terra,MODIS,62,6.1,296.1,11.1
34.062,-118.895,324.1,1,1,2001-04-02,1856,Terra,MODIS,79,6.1,293.5,19.3
34.055,-118.907,328.3,1,1,2001-04-02,1856,Terra,MODIS,42,6.1,294.5,22.6
34.053,-118.897,329,1,1,2001-04-02,1856,Terra,MODIS,48,6.1,294.6,23.7
35.053,-120.615,301.5,3,1.6,2001-04-10,1944,Terra,MODIS,0,6.1,289.5,17.6
34.593,-119.833,306.4,1.7,1.3,2001-04-13,1837,Terra,MODIS,32,6.1,292.8,8.8
34.582,-119.834,317.1,1.7,1.3,2001-04-13,1837,Terra,MODIS,74,6.1,293.8,27.8
34.392,-118.961,313.6,1.5,1.2,2001-04-13,1837,Terra,MODIS,64,6.1,301.4,10.4
34.186,-118.836,320.5,1.5,1.2,2001-04-13,1837,Terra,MODIS,69,6.1,299.5,20.2
34.185,-118.82,314.5,1.5,1.2,2001-04-13,1837,Terra,MODIS,44,6.1,298.8,11
34.167,-119.097,314.5,1.5,1.2,2001-04-13,1837,Terra,MODIS,57,6.1,299.9,11.2
34.259,-119.117,314.1,1.1,1.1,2001-04-16,1908,Terra,MODIS,16,6.1,299.7,5.6
34.249,-119.119,320.5,1.1,1.1,2001-04-16,1908,Terra,MODIS,72,6.1,300.8,12.8
35.011,-118.914,322.1,1,1,2001-04-18,1855,Terra,MODIS,69,6.1,301.9,8.8
