latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
34.319,-118.512,299.3,0.5,0.4,2016-01-25,0955,N,VIIRS,n,1.0,276.9,0,N
34.32,-118.508,295,0.5,0.4,2016-01-25,0955,N,VIIRS,n,1.0,277.1,0,N
34.806,-120.427,327.6,0.5,0.4,2016-01-25,2115,N,VIIRS,n,1.0,292.7,0,D
34.807,-120.425,330.5,0.5,0.4,2016-01-25,2115,N,VIIRS,n,1.0,291.9,0,D
34.336,-118.518,301.1,0.4,0.4,2016-01-26,0935,N,VIIRS,n,1.0,280.1,0,N
34.321,-118.512,299,0.4,0.4,2016-01-26,0935,N,VIIRS,n,1.0,279.1,0,N
34.291,-118.8,304.2,0.4,0.4,2016-01-26,0935,N,VIIRS,n,1.0,282,0,N
34.318,-118.512,299.2,0.4,0.4,2016-01-27,0920,N,VIIRS,n,1.0,279.4,0,N
34.292,-118.802,297.5,0.4,0.5,2016-01-27,0920,N,VIIRS,n,1.0,283.7,0,N
34.291,-118.801,297.5,0.4,0.4,2016-01-09,0955,N,VIIRS,n,1.0,275.1,0,N
34.333,-118.517,311.4,0.5,0.4,2016-01-09,0955,N,VIIRS,n,1.0,274.4,0,N
34.336,-118.52,295.8,0.4,0.4,2016-01-21,0930,N,VIIRS,n,1.0,281,0,N
34.291,-118.8,300.4,0.4,0.4,2016-01-21,0930,N,VIIRS,n,1.0,280.2,0,N
34.315,-118.95,325,0.5,0.7,2016-01-13,2000,N,VIIRS,n,1.0,284.6,0,D
34.386,-118.855,326.2,0.5,0.7,2016-01-13,2000,N,VIIRS,n,1.0,285.5,0,D
34.374,-118.993,333.9,0.5,0.7,2016-01-13,2000,N,VIIRS,n,1.0,286.1,0,D
34.266,-119.129,328.3,0.4,0.6,2016-01-13,2140,N,VIIRS,n,1.0,287.3,0,D
34.269,-119.131,337.5,0.6,0.5,2016-01-12,2020,N,VIIRS,n,1.0,292.3,0,D
34.319,-118.513,297.9,0.4,0.4,2016-01-15,0945,N,VIIRS,n,1.0,278.9,0,N
34.336,-118.518,297.7,0.5,0.4,2016-01-14,1000,N,VIIRS,n,1.0,279.5,0,N
34.318,-118.511,298.2,0.5,0.4,2016-01-14,1000,N,VIIRS,n,1.0,280,0,N
35.124,-118.846,343.1,0.5,0.7,2016-02-19,2145,N,VIIRS,n,1.0NRT,293.9,0,D
34.996,-118.86,335.7,0.5,0.7,2016-02-19,2145,N,VIIRS,n,1.0NRT,293.1,0,D
34.395,-118.846,333.2,0.5,0.7,2016-02-19,2145,N,VIIRS,n,1.0NRT,291.7,0,D
34.312,-118.877,332.2,0.5,0.7,2016-02-19,2145,N,VIIRS,n,1.0NRT,289.6,0,D
35.277,-118.941,329.5,0.4,0.6,2016-02-19,2005,N,VIIRS,n,1.0NRT,293.3,0,D
35.124,-118.853,346.2,0.4,0.6,2016-02-19,2005,N,VIIRS,n,1.0NRT,294.8,0,D
35.126,-118.848,367,0.4,0.6,2016-02-19,2005,N,VIIRS,n,1.0NRT,298.6,0,D
35.127,-118.849,367,0.4,0.6,2016-02-19,2005,N,VIIRS,n,1.0NRT,296.4,0,D
35.122,-118.847,353.3,0.4,0.6,2016-02-19,2005,N,VIIRS,n,1.0NRT,296.7,0,D
34.998,-118.862,353.8,0.4,0.6,2016-02-19,2005,N,VIIRS,n,1.0NRT,296.1,0,D
