latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
17.845,-93.114,312.0,1.1,1.1,2017-12-05,440,T,84,6.0NRT,293.2,12.2,N
17.843,-93.124,328.7,1.1,1.1,2017-12-05,440,T,100,6.0NRT,293.9,31.9,N
17.898,-93.182,309.0,1.1,1.1,2017-12-05,440,T,76,6.0NRT,293.3,9.7,N
18.441,-93.168,324.6,1.1,1.1,2017-12-05,440,T,94,6.0NRT,296.1,0.0,N
18.865,-92.624,321.4,1.2,1.1,2017-12-05,440,T,100,6.0NRT,295.3,21.9,N
18.867,-92.619,329.1,1.2,1.1,2017-12-05,440,T,100,6.0NRT,295.2,33.6,N
18.866,-92.63,322.3,1.2,1.1,2017-12-05,440,T,100,6.0NRT,295.1,23.2,N
18.877,-92.62,308.9,1.2,1.1,2017-12-05,440,T,63,6.0NRT,294.8,8.6,N
18.876,-92.632,307.9,1.2,1.1,2017-12-05,440,T,57,6.0NRT,294.9,7.7,N
19.305,-92.204,311.4,1.3,1.1,2017-12-05,440,T,75,6.0NRT,291.6,13.2,N
19.433,-92.075,308.7,1.3,1.1,2017-12-05,440,T,62,6.0NRT,288.4,11.4,N
19.432,-92.087,306.9,1.3,1.1,2017-12-05,440,T,50,6.0NRT,290.2,9.0,N
19.023,-98.622,303.1,1.2,1.1,2017-12-05,440,T,53,6.0NRT,271.5,13.1,N
20.516,-97.472,314.7,1.1,1.0,2017-12-05,440,T,90,6.0NRT,293.2,14.0,N
20.514,-97.482,325.2,1.1,1.0,2017-12-05,440,T,100,6.0NRT,292.6,25.1,N
24.806,-97.954,309.6,1.0,1.0,2017-12-05,440,T,78,6.0NRT,292.8,8.4,N
24.815,-97.956,315.9,1.0,1.0,2017-12-05,440,T,92,6.0NRT,292.7,13.1,N
25.722,-100.3,300.8,1.2,1.1,2017-12-05,440,T,34,6.0NRT,290.7,5.5,N
26.884,-101.453,305.0,1.3,1.1,2017-12-05,440,T,32,6.0NRT,279.1,12.7,N
29.577,-98.036,301.5,1.0,1.0,2017-12-05,440,T,42,6.0NRT,290.1,5.0,N
34.323,-119.182,311.1,1.5,1.2,2017-12-05,620,T,29,6.0NRT,283.4,18.7,N
34.321,-119.198,309.1,1.5,1.2,2017-12-05,620,T,22,6.0NRT,280.8,15.9,N
34.339,-119.134,322.7,1.5,1.2,2017-12-05,620,T,100,6.0NRT,290.5,33.4,N
34.337,-119.15,401.0,1.5,1.2,2017-12-05,620,T,100,6.0NRT,299.6,469.0,N
34.335,-119.167,446.4,1.5,1.2,2017-12-05,620,T,100,6.0NRT,304.6,1205.8,N
34.334,-119.184,414.3,1.5,1.2,2017-12-05,620,T,100,6.0NRT,295.9,629.4,N
34.332,-119.2,376.7,1.5,1.2,2017-12-05,620,T,100,6.0NRT,288.9,249.9,N
34.33,-119.217,315.9,1.5,1.2,2017-12-05,620,T,40,6.0NRT,282.9,24.1,N
34.351,-119.119,388.0,1.5,1.2,2017-12-05,620,T,100,6.0NRT,297.7,344.0,N
34.349,-119.136,480.0,1.5,1.2,2017-12-05,620,T,100,6.0NRT,334.5,2165.8,N
34.348,-119.152,500.0,1.5,1.2,2017-12-05,620,T,100,6.0NRT,332.3,2928.3,N
34.346,-119.168,466.4,1.5,1.2,2017-12-05,620,T,100,6.0NRT,314.4,1721.7,N
34.344,-119.185,500.0,1.5,1.2,2017-12-05,620,T,100,6.0NRT,320.8,2909.9,N
34.343,-119.203,446.5,1.5,1.2,2017-12-05,620,T,100,6.0NRT,300.7,1204.9,N
34.341,-119.219,315.7,1.5,1.2,2017-12-05,620,T,26,6.0NRT,284.3,22.8,N
34.365,-119.088,377.8,1.5,1.2,2017-12-05,620,T,100,6.0NRT,292.1,265.8,N
34.364,-119.104,429.4,1.5,1.2,2017-12-05,620,T,100,6.0NRT,308.7,881.5,N
34.362,-119.121,384.4,1.5,1.2,2017-12-05,620,T,100,6.0NRT,298.1,312.9,N
34.36,-119.137,360.3,1.5,1.2,2017-12-05,620,T,100,6.0NRT,293.6,154.9,N
34.359,-119.154,365.5,1.5,1.2,2017-12-05,620,T,100,6.0NRT,291.3,182.0,N
34.357,-119.17,350.7,1.5,1.2,2017-12-05,620,T,100,6.0NRT,289.7,112.3,N
34.355,-119.187,338.0,1.5,1.2,2017-12-05,620,T,100,6.0NRT,287.1,67.3,N
34.353,-119.204,343.8,1.5,1.2,2017-12-05,620,T,100,6.0NRT,286.0,87.8,N
34.352,-119.22,341.0,1.5,1.2,2017-12-05,620,T,100,6.0NRT,285.6,80.2,N
34.378,-119.073,345.4,1.5,1.2,2017-12-05,620,T,100,6.0NRT,288.9,98.1,N
34.376,-119.09,369.2,1.5,1.2,2017-12-05,620,T,100,6.0NRT,292.1,209.1,N
34.374,-119.106,368.5,1.5,1.2,2017-12-05,620,T,100,6.0NRT,292.7,202.1,N
34.373,-119.123,328.2,1.5,1.2,2017-12-05,620,T,94,6.0NRT,290.1,44.9,N
34.371,-119.139,338.4,1.5,1.2,2017-12-05,620,T,100,6.0NRT,291.3,69.8,N
34.369,-119.155,349.5,1.5,1.2,2017-12-05,620,T,100,6.0NRT,292.3,106.7,N
34.368,-119.172,376.8,1.5,1.2,2017-12-05,620,T,100,6.0NRT,296.8,251.9,N
34.366,-119.189,393.8,1.5,1.2,2017-12-05,620,T,100,6.0NRT,297.0,392.1,N
34.364,-119.205,408.2,1.5,1.2,2017-12-05,620,T,100,6.0NRT,293.3,551.7,N
34.363,-119.221,386.5,1.5,1.2,2017-12-05,620,T,100,6.0NRT,288.0,325.8,N
34.39,-119.059,385.5,1.5,1.2,2017-12-05,620,T,100,6.0NRT,296.0,330.4,N
34.389,-119.075,391.8,1.5,1.2,2017-12-05,620,T,100,6.0NRT,297.9,383.9,N
34.387,-119.092,347.4,1.5,1.2,2017-12-05,620,T,100,6.0NRT,291.8,103.2,N
34.385,-119.108,353.0,1.5,1.2,2017-12-05,620,T,100,6.0NRT,291.9,122.3,N
34.384,-119.125,352.5,1.5,1.2,2017-12-05,620,T,100,6.0NRT,293.1,120.5,N
34.382,-119.141,379.9,1.5,1.2,2017-12-05,620,T,100,6.0NRT,296.6,276.3,N
34.38,-119.158,388.4,1.5,1.2,2017-12-05,620,T,100,6.0NRT,300.0,345.2,N
34.379,-119.174,383.1,1.5,1.2,2017-12-05,620,T,100,6.0NRT,291.5,298.7,N
34.377,-119.19,380.8,1.5,1.2,2017-12-05,620,T,100,6.0NRT,286.9,281.5,N
34.375,-119.207,326.5,1.5,1.2,2017-12-05,620,T,72,6.0NRT,283.0,40.8,N
34.403,-119.046,313.2,1.5,1.2,2017-12-05,620,T,85,6.0NRT,284.4,23.5,N
34.401,-119.061,402.0,1.5,1.2,2017-12-05,620,T,100,6.0NRT,299.3,494.2,N
34.4,-119.077,383.9,1.5,1.2,2017-12-05,620,T,100,6.0NRT,294.7,315.1,N
34.398,-119.094,339.6,1.5,1.2,2017-12-05,620,T,100,6.0NRT,289.6,75.3,N
34.396,-119.11,380.3,1.5,1.2,2017-12-05,620,T,100,6.0NRT,296.6,279.3,N
34.395,-119.127,390.8,1.5,1.2,2017-12-05,620,T,100,6.0NRT,304.5,366.6,N
34.393,-119.143,424.7,1.5,1.2,2017-12-05,620,T,100,6.0NRT,310.8,794.7,N
34.391,-119.16,456.1,1.5,1.2,2017-12-05,620,T,100,6.0NRT,308.8,1445.6,N
34.389,-119.176,378.7,1.5,1.2,2017-12-05,620,T,100,6.0NRT,287.7,263.5,N
34.388,-119.193,318.3,1.5,1.2,2017-12-05,620,T,65,6.0NRT,282.9,26.5,N
34.411,-119.079,352.2,1.5,1.2,2017-12-05,620,T,100,6.0NRT,289.9,124.6,N
34.409,-119.096,443.8,1.5,1.2,2017-12-05,620,T,100,6.0NRT,315.2,1171.1,N
34.407,-119.112,391.8,1.5,1.2,2017-12-05,620,T,100,6.0NRT,295.0,377.0,N
34.405,-119.129,420.3,1.5,1.2,2017-12-05,620,T,100,6.0NRT,299.6,725.8,N
34.404,-119.146,500.0,1.5,1.2,2017-12-05,620,T,100,6.0NRT,319.2,2937.7,N
34.402,-119.162,358.7,1.5,1.2,2017-12-05,620,T,100,6.0NRT,287.2,148.1,N
34.398,-119.195,313.6,1.5,1.2,2017-12-05,620,T,10,6.0NRT,283.1,21.2,N
34.423,-119.066,335.3,1.5,1.2,2017-12-05,620,T,96,6.0NRT,284.7,66.5,N
34.421,-119.081,346.2,1.5,1.2,2017-12-05,620,T,100,6.0NRT,287.3,97.7,N
34.42,-119.098,374.9,1.5,1.2,2017-12-05,620,T,100,6.0NRT,289.1,240.8,N
34.418,-119.116,328.5,1.5,1.2,2017-12-05,620,T,100,6.0NRT,284.0,42.7,N
34.412,-119.085,383.2,1.5,1.2,2017-12-05,620,T,100,6.0NRT,298.3,306.4,N
34.411,-119.102,432.8,1.5,1.2,2017-12-05,620,T,100,6.0NRT,313.7,943.2,N
34.409,-119.119,345.1,1.5,1.2,2017-12-05,620,T,100,6.0NRT,288.3,91.7,N
34.407,-119.136,438.1,1.5,1.2,2017-12-05,620,T,100,6.0NRT,304.9,1039.6,N
34.406,-119.153,426.7,1.5,1.2,2017-12-05,620,T,100,6.0NRT,298.4,827.2,N
34.425,-119.071,338.7,1.5,1.2,2017-12-05,620,T,100,6.0NRT,284.8,76.8,N
34.423,-119.087,335.7,1.5,1.2,2017-12-05,620,T,100,6.0NRT,285.9,66.0,N
34.431,-119.122,391.9,1.5,1.2,2017-12-05,620,T,100,6.0NRT,298.0,380.5,N
34.429,-119.139,356.2,1.5,1.2,2017-12-05,620,T,100,6.0NRT,289.2,136.4,N
34.443,-119.109,319.0,1.5,1.2,2017-12-05,620,T,48,6.0NRT,285.5,31.2,N
34.442,-119.124,412.5,1.5,1.2,2017-12-05,620,T,100,6.0NRT,305.9,618.8,N
34.44,-119.14,373.5,1.5,1.2,2017-12-05,620,T,100,6.0NRT,293.6,234.6,N
