latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.40689,-155.26944,347.2,0.5,0.5,2017-12-05,0,N,nominal,1.0NRT,286.0,11.7,D
19.40633,-155.27458,367.0,0.5,0.5,2017-12-05,0,N,low,1.0NRT,284.6,24.6,D
19.411,-155.27516,351.9,0.5,0.5,2017-12-05,0,N,nominal,1.0NRT,285.8,9.2,D
19.41043,-155.2804,341.6,0.5,0.5,2017-12-05,0,N,nominal,1.0NRT,288.2,9.2,D
18.20494,-94.00571,339.6,0.4,0.5,2017-12-05,730,N,nominal,1.0NRT,278.0,2.3,N
18.20544,-94.00967,299.6,0.4,0.5,2017-12-05,730,N,nominal,1.0NRT,282.6,2.3,N
18.20078,-94.00629,298.1,0.4,0.5,2017-12-05,730,N,nominal,1.0NRT,279.0,2.3,N
18.0991,-93.43398,304.2,0.4,0.4,2017-12-05,730,N,nominal,1.0NRT,292.0,0.6,N
17.89567,-92.49003,342.2,0.5,0.4,2017-12-05,730,N,nominal,1.0NRT,293.6,6.9,N
18.09493,-94.04883,305.7,0.4,0.5,2017-12-05,730,N,nominal,1.0NRT,292.0,1.2,N
18.09443,-94.04485,316.8,0.4,0.5,2017-12-05,730,N,nominal,1.0NRT,292.5,1.2,N
18.09027,-94.04546,307.0,0.4,0.5,2017-12-05,730,N,nominal,1.0NRT,292.3,1.2,N
17.87992,-92.48746,307.8,0.5,0.4,2017-12-05,730,N,nominal,1.0NRT,293.2,0.7,N
18.03266,-93.92191,318.1,0.4,0.5,2017-12-05,730,N,nominal,1.0NRT,292.2,0.8,N
18.03488,-93.9245,310.3,0.4,0.5,2017-12-05,730,N,nominal,1.0NRT,291.9,1.0,N
18.03437,-93.92062,306.5,0.4,0.5,2017-12-05,730,N,nominal,1.0NRT,292.0,0.9,N
18.04293,-94.05104,308.8,0.4,0.5,2017-12-05,730,N,nominal,1.0NRT,292.1,0.6,N
17.91172,-93.17868,304.2,0.6,0.4,2017-12-05,730,N,nominal,1.0NRT,291.7,0.7,N
17.90384,-93.1798,316.6,0.6,0.4,2017-12-05,730,N,nominal,1.0NRT,293.3,2.4,N
17.9006,-93.1856,304.8,0.6,0.4,2017-12-05,730,N,nominal,1.0NRT,292.6,1.6,N
17.89991,-93.18038,316.3,0.6,0.4,2017-12-05,730,N,nominal,1.0NRT,292.1,1.6,N
17.89273,-93.18674,323.8,0.6,0.4,2017-12-05,730,N,nominal,1.0NRT,292.7,3.7,N
17.91388,-93.37843,305.2,0.6,0.4,2017-12-05,730,N,nominal,1.0NRT,291.7,1.5,N
17.91184,-93.51988,310.0,0.4,0.4,2017-12-05,730,N,nominal,1.0NRT,291.1,1.1,N
17.84457,-93.12461,324.4,0.5,0.4,2017-12-05,730,N,nominal,1.0NRT,293.2,9.4,N
17.84389,-93.11942,348.7,0.5,0.4,2017-12-05,730,N,nominal,1.0NRT,295.1,18.6,N
17.92191,-93.76104,321.4,0.4,0.5,2017-12-05,730,N,nominal,1.0NRT,292.5,1.3,N
17.83997,-93.11997,344.0,0.5,0.4,2017-12-05,730,N,nominal,1.0NRT,293.3,18.6,N
17.94505,-94.28772,312.2,0.4,0.5,2017-12-05,730,N,nominal,1.0NRT,291.6,0.9,N
17.72101,-93.15092,301.0,0.5,0.4,2017-12-05,730,N,nominal,1.0NRT,290.5,0.4,N
17.79762,-93.94391,307.3,0.4,0.5,2017-12-05,730,N,nominal,1.0NRT,290.8,0.5,N
17.65672,-93.36359,301.5,0.6,0.4,2017-12-05,730,N,nominal,1.0NRT,291.1,1.0,N
17.78801,-95.34397,299.9,0.5,0.5,2017-12-05,730,N,nominal,1.0NRT,288.2,0.7,N
17.93548,-102.21186,310.7,0.7,0.8,2017-12-05,730,N,nominal,1.0NRT,291.8,2.5,N
17.93493,-102.20498,305.4,0.7,0.8,2017-12-05,730,N,nominal,1.0NRT,291.2,2.1,N
17.93024,-102.20995,335.7,0.7,0.8,2017-12-05,730,N,nominal,1.0NRT,291.7,4.1,N
17.92963,-102.20303,306.1,0.7,0.8,2017-12-05,730,N,nominal,1.0NRT,291.6,4.1,N
17.5281,-98.82657,295.7,0.4,0.6,2017-12-05,730,N,nominal,1.0NRT,283.5,0.5,N
42.85873,-86.13165,295.1,0.5,0.4,2017-12-05,718,N,nominal,1.0NRT,278.1,0.7,N
41.68169,-87.42696,295.0,0.5,0.4,2017-12-05,718,N,nominal,1.0NRT,277.6,2.2,N
41.67853,-87.43412,314.0,0.5,0.4,2017-12-05,718,N,nominal,1.0NRT,277.7,3.4,N
41.6386,-87.1391,325.9,0.5,0.4,2017-12-05,718,N,nominal,1.0NRT,274.3,2.8,N
41.63928,-87.14536,310.0,0.5,0.4,2017-12-05,718,N,nominal,1.0NRT,273.6,5.0,N
41.64042,-87.4088,309.1,0.5,0.4,2017-12-05,718,N,nominal,1.0NRT,278.1,2.4,N
40.64354,-89.6446,297.2,0.4,0.5,2017-12-05,718,N,nominal,1.0NRT,275.2,1.2,N
40.64308,-89.63941,300.4,0.4,0.5,2017-12-05,718,N,nominal,1.0NRT,276.5,0.9,N
40.6341,-89.63556,296.4,0.4,0.5,2017-12-05,718,N,nominal,1.0NRT,275.4,1.6,N
40.63572,-89.6366,302.4,0.4,0.5,2017-12-05,718,N,nominal,1.0NRT,276.9,1.0,N
40.5343,-90.07442,305.4,0.5,0.5,2017-12-05,718,N,nominal,1.0NRT,272.8,1.6,N
38.77799,-79.39202,296.8,0.4,0.4,2017-12-05,718,N,nominal,1.0NRT,267.5,0.4,N
37.17944,-77.44835,299.8,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,277.2,1.1,N
35.67833,-78.86945,308.3,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,268.3,0.9,N
35.53545,-82.84293,295.5,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,275.0,0.7,N
34.84072,-79.73728,297.8,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,277.4,1.0,N
34.83712,-79.73832,298.6,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,279.6,1.0,N
33.96361,-81.0504,305.1,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,283.6,1.0,N
33.01431,-79.88624,328.3,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,283.1,3.3,N
33.00591,-79.88299,298.4,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,282.6,0.9,N
33.00488,-79.87772,303.0,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,282.5,0.9,N
33.41701,-82.99921,302.7,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,279.7,0.7,N
32.79995,-81.28104,297.3,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,283.9,0.4,N
31.65003,-83.98554,300.0,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,283.1,0.3,N
31.17978,-83.60738,296.3,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,285.6,0.4,N
31.15117,-84.74319,296.5,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,280.0,0.5,N
30.69308,-83.30419,298.0,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,287.6,0.5,N
30.99392,-85.67094,297.4,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,267.5,0.5,N
30.78459,-84.46576,302.7,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,284.8,0.8,N
30.77155,-84.40629,304.5,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,284.6,0.6,N
30.75133,-84.55592,307.5,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,286.1,0.9,N
31.15447,-87.97837,302.9,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,287.6,0.6,N
31.15215,-87.98816,316.1,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,288.8,2.8,N
30.76045,-86.37502,297.1,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,285.0,0.2,N
30.947,-88.01155,302.6,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,285.3,0.7,N
30.94349,-88.01219,298.4,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,286.9,1.2,N
30.93998,-88.01283,318.2,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,286.9,1.2,N
30.42153,-84.91079,299.8,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,285.4,0.5,N
30.07017,-83.52276,300.5,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,287.7,0.7,N
29.84617,-82.85776,299.8,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,284.9,0.5,N
30.7485,-92.2522,301.9,0.5,0.5,2017-12-05,724,N,nominal,1.0NRT,288.4,1.3,N
29.31049,-82.24078,301.9,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,286.2,0.4,N
28.62652,-81.51484,299.9,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,286.8,0.1,N
30.2425,-93.27396,302.4,0.5,0.5,2017-12-05,724,N,nominal,1.0NRT,289.5,1.9,N
30.23999,-93.2747,300.1,0.5,0.5,2017-12-05,724,N,nominal,1.0NRT,288.6,1.1,N
30.11692,-93.29723,299.1,0.5,0.5,2017-12-05,724,N,nominal,1.0NRT,287.8,1.0,N
30.11229,-93.29784,302.0,0.5,0.5,2017-12-05,724,N,nominal,1.0NRT,287.8,1.6,N
29.84492,-91.45495,298.8,0.4,0.5,2017-12-05,724,N,nominal,1.0NRT,285.4,0.5,N
29.77668,-91.73592,300.9,0.4,0.5,2017-12-05,724,N,nominal,1.0NRT,288.5,0.7,N
29.88986,-93.96315,300.1,0.6,0.5,2017-12-05,724,N,nominal,1.0NRT,285.4,1.5,N
28.16101,-81.86161,301.5,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,288.0,0.4,N
29.82618,-94.91887,299.8,0.3,0.6,2017-12-05,724,N,nominal,1.0NRT,286.6,1.0,N
29.74617,-95.01543,302.5,0.3,0.6,2017-12-05,724,N,nominal,1.0NRT,288.5,2.2,N
29.74479,-94.99804,302.7,0.3,0.6,2017-12-05,724,N,nominal,1.0NRT,288.4,1.7,N
29.74442,-95.01429,300.5,0.3,0.6,2017-12-05,724,N,nominal,1.0NRT,288.2,1.7,N
29.74323,-95.0004,302.9,0.3,0.6,2017-12-05,724,N,nominal,1.0NRT,289.1,1.7,N
29.74334,-95.12402,300.0,0.3,0.6,2017-12-05,724,N,nominal,1.0NRT,286.1,1.4,N
29.56457,-95.44863,299.1,0.3,0.6,2017-12-05,724,N,nominal,1.0NRT,284.4,0.7,N
27.51127,-81.30913,301.9,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,288.1,0.9,N
27.59459,-81.77161,301.2,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,287.9,0.8,N
29.37282,-94.92191,306.6,0.3,0.6,2017-12-05,724,N,nominal,1.0NRT,285.1,1.2,N
29.37254,-94.91853,300.4,0.3,0.6,2017-12-05,724,N,nominal,1.0NRT,284.1,0.7,N
29.3666,-94.909,299.3,0.3,0.6,2017-12-05,724,N,nominal,1.0NRT,285.2,1.1,N
27.41367,-81.4101,302.2,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,288.4,0.9,N
29.06235,-97.80526,325.3,0.5,0.7,2017-12-05,724,N,nominal,1.0NRT,273.4,1.6,N
29.06202,-97.80016,300.5,0.5,0.7,2017-12-05,724,N,nominal,1.0NRT,272.6,1.6,N
28.15822,-89.1043,309.3,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,289.1,2.9,N
28.15464,-89.1049,332.0,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,291.8,2.9,N
28.15669,-89.10678,329.9,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,291.8,2.7,N
28.15607,-89.10217,315.6,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,289.6,2.7,N
26.28883,-80.16744,303.3,0.4,0.5,2017-12-05,724,N,nominal,1.0NRT,291.0,0.4,N
28.57241,-99.07672,297.1,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,270.4,0.8,N
26.03982,-80.41405,315.7,0.4,0.5,2017-12-05,724,N,nominal,1.0NRT,290.2,0.8,N
26.03576,-80.41505,303.2,0.4,0.5,2017-12-05,724,N,nominal,1.0NRT,288.8,0.8,N
28.45703,-100.08047,298.5,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,283.8,0.9,N
27.01523,-98.03978,297.8,0.5,0.7,2017-12-05,724,N,nominal,1.0NRT,281.4,2.2,N
27.01488,-98.03489,307.5,0.5,0.7,2017-12-05,724,N,nominal,1.0NRT,283.8,1.9,N
27.00889,-98.03545,307.7,0.5,0.7,2017-12-05,724,N,nominal,1.0NRT,283.9,1.6,N
26.89077,-101.45979,295.1,0.8,0.8,2017-12-05,724,N,nominal,1.0NRT,282.9,5.2,N
26.89038,-101.45181,317.1,0.8,0.8,2017-12-05,724,N,nominal,1.0NRT,283.9,2.9,N
26.88314,-101.45203,307.3,0.8,0.8,2017-12-05,724,N,nominal,1.0NRT,284.4,2.9,N
26.88157,-101.41969,305.2,0.8,0.8,2017-12-05,724,N,nominal,1.0NRT,284.5,3.5,N
25.72367,-100.3054,299.1,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,287.6,2.2,N
25.71655,-100.29948,298.2,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,286.8,1.2,N
25.72171,-100.30701,300.4,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,287.3,1.2,N
25.7213,-100.30054,307.1,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,287.9,1.2,N
25.59196,-99.9451,298.4,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,288.1,2.8,N
25.58499,-99.93959,318.5,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,287.3,1.9,N
25.5784,-99.94025,298.1,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,286.6,1.9,N
25.58662,-99.9395,313.3,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,287.2,2.6,N
25.58003,-99.94012,311.2,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,286.7,2.6,N
23.01276,-82.74146,305.2,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,291.6,1.8,N
23.01349,-82.74305,304.5,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,291.8,1.0,N
23.00974,-82.74389,312.4,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,292.0,1.8,N
22.45857,-80.61805,304.8,0.5,0.5,2017-12-05,724,N,nominal,1.0NRT,290.3,0.8,N
24.81599,-97.95448,312.2,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,288.7,1.5,N
24.81634,-97.9519,301.8,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,288.6,0.7,N
24.81051,-97.95251,338.2,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,289.1,4.6,N
21.71075,-79.06117,303.7,0.6,0.5,2017-12-05,724,N,nominal,1.0NRT,290.9,1.4,N
20.86467,-78.09557,303.7,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,291.0,0.4,N
20.94384,-89.66502,311.9,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,292.2,1.0,N
21.91993,-98.56995,305.7,0.5,0.6,2017-12-05,724,N,nominal,1.0NRT,289.9,2.6,N
20.96329,-97.84566,300.4,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,289.7,0.5,N
20.91524,-97.81173,301.1,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,290.3,1.0,N
20.51596,-97.48038,367.0,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,293.2,12.6,N
20.5156,-97.47673,339.6,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,291.8,23.2,N
20.51633,-97.48402,315.1,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,290.5,12.6,N
20.51057,-97.481,304.7,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,290.6,12.6,N
20.49247,-97.40858,313.7,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,290.3,1.5,N
20.44923,-97.53946,304.3,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,289.9,0.3,N
20.42868,-97.55286,338.6,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,290.7,2.6,N
20.36113,-97.42195,303.3,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,290.2,0.3,N
20.3636,-97.42104,301.0,0.4,0.6,2017-12-05,724,N,nominal,1.0NRT,290.0,0.3,N
20.58182,-101.1796,298.9,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,282.4,4.9,N
20.58134,-101.17323,311.3,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,280.7,3.0,N
20.57995,-101.17801,302.7,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,281.4,2.1,N
20.57943,-101.17165,298.1,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,279.1,2.1,N
19.60139,-92.29194,326.4,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.8,5.3,N
20.52544,-100.92444,303.9,0.6,0.7,2017-12-05,724,N,nominal,1.0NRT,282.4,2.5,N
19.56692,-92.23679,332.0,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.4,6.5,N
19.52574,-92.1881,316.9,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.9,1.7,N
19.52195,-92.18867,308.2,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.5,1.7,N
19.51753,-92.15461,305.7,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.3,2.2,N
19.52262,-92.19053,325.4,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.6,4.1,N
19.51799,-92.15652,307.2,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.5,2.3,N
19.44023,-92.03574,316.2,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.7,1.1,N
19.43648,-92.0363,307.4,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.5,0.7,N
19.43092,-92.08107,312.6,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.5,0.9,N
19.42653,-92.07684,308.9,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.6,0.6,N
19.42276,-92.07741,306.3,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.2,0.6,N
19.4027,-92.04142,320.5,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.8,3.3,N
19.39895,-92.04199,312.0,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.8,7.9,N
19.3952,-92.04256,336.0,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,296.1,7.9,N
19.40277,-92.04319,321.1,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,294.0,3.3,N
19.39902,-92.04376,307.0,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.6,8.9,N
19.39526,-92.04432,337.3,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,295.8,8.9,N
19.36759,-92.00968,316.8,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.6,2.1,N
19.36695,-92.00494,307.3,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.4,2.1,N
19.30145,-92.20353,332.0,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,294.5,11.4,N
19.29373,-92.17509,308.6,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.7,1.7,N
19.29308,-92.17027,305.9,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.7,1.7,N
20.05101,-99.29521,309.8,0.5,0.7,2017-12-05,724,N,nominal,1.0NRT,279.4,1.7,N
20.05057,-99.29041,297.0,0.5,0.7,2017-12-05,724,N,nominal,1.0NRT,282.2,1.7,N
20.05013,-99.28561,296.6,0.5,0.7,2017-12-05,724,N,nominal,1.0NRT,285.7,3.1,N
19.24231,-92.25203,318.0,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.8,2.5,N
19.99534,-99.21497,296.8,0.5,0.7,2017-12-05,724,N,nominal,1.0NRT,278.9,1.9,N
19.99882,-99.21118,299.3,0.5,0.7,2017-12-05,724,N,nominal,1.0NRT,281.1,0.8,N
18.64122,-88.48758,315.3,0.4,0.4,2017-12-05,724,N,nominal,1.0NRT,291.1,1.2,N
18.87364,-92.62759,332.3,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,294.2,7.4,N
18.87298,-92.62256,338.5,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,294.4,7.4,N
18.86978,-92.62817,333.2,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,295.2,30.5,N
18.86912,-92.62312,310.7,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,296.0,30.5,N
18.86527,-92.6237,319.3,0.5,0.4,2017-12-05,724,N,nominal,1.0NRT,293.8,30.5,N
